,Unnamed: 0,utterance,speaker,dialogue_act,text,dialogue_id,level
0,1dialogues/3AiL40.cha,0.0,interviewer,general_other_question,and how old are you ?,3AiL40.cha,3.0
1,2dialogues/3AiL40.cha,1.0,participant,statement,I'm sixteen years old .,3AiL40.cha,3.0
2,3dialogues/3AiL40.cha,2.0,interviewer,statement,and you've never repeated any course then  you're not a repeater .,3AiL40.cha,3.0
3,4dialogues/3AiL40.cha,3.0,participant,statement,no  .,3AiL40.cha,3.0
4,5dialogues/3AiL40.cha,4.0,interviewer,wh_question,and when did you begin English ?,3AiL40.cha,3.0
5,6dialogues/3AiL40.cha,5.0,participant,statement,I begin hmm .,3AiL40.cha,3.0
6,7dialogues/3AiL40.cha,6.0,interviewer,general_other_question,eight ?,3AiL40.cha,3.0
7,8dialogues/3AiL40.cha,7.0,participant,repeat_phrase,eight or nine .,3AiL40.cha,3.0
8,9dialogues/3AiL40.cha,8.0,interviewer,backchannel_question,yeah ?,3AiL40.cha,3.0
9,10dialogues/3AiL40.cha,9.0,interviewer,statement,in third year of primary .,3AiL40.cha,3.0
10,11dialogues/3AiL40.cha,10.0,participant,yes_answers,yes .,3AiL40.cha,3.0
11,12dialogues/3AiL40.cha,11.0,interviewer,statement,ok right and you've been never to a  language school  ...,3AiL40.cha,3.0
12,13dialogues/3AiL40.cha,12.0,participant,no_answers,no .,3AiL40.cha,3.0
13,14dialogues/3AiL40.cha,13.0,interviewer,statement," , to an .",3AiL40.cha,3.0
14,15dialogues/3AiL40.cha,14.0,participant,no_answers,no .,3AiL40.cha,3.0
15,16dialogues/3AiL40.cha,15.0,interviewer,statement,nothing .,3AiL40.cha,3.0
16,17dialogues/3AiL40.cha,16.0,participant,statement,never .,3AiL40.cha,3.0
17,18dialogues/3AiL40.cha,17.0,interviewer,response_acknowledgement,good .,3AiL40.cha,3.0
18,19dialogues/3AiL40.cha,18.0,interviewer,statement,hmm tell me about  your self .,3AiL40.cha,3.0
19,20dialogues/3AiL40.cha,19.0,interviewer,general_other_question,how many brothers or sisters have you got ?,3AiL40.cha,3.0
20,21dialogues/3AiL40.cha,20.0,participant,statement,I have a brother  ...,3AiL40.cha,3.0
